Latitude,Longitude,Time Stamp(s),Yaw(degrees),Pitch(degrees),Roll(degrees)
34.10655933,-117.7122673,1375000,99.79655998,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,100.656068,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,98.30980373,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,97.18734618,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,99.71344504,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,99.89694486,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,101.0797109,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,98.86348472,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,98.34650166,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,97.73968423,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,100.0030394,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,98.24655416,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,100.2791978,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,101.2768527,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,96.4765642,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,99.14466047,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,97.98681591,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,100.8736131,-0.6875,-2.3125
34.1065605,-117.712266,1376000,99.80465522,-0.6875,-2.3125
34.1065605,-117.712266,1376000,97.15521934,-0.6875,-2.3125
34.1065605,-117.712266,1376000,98.68945784,-0.6875,-2.3125
34.1065605,-117.712266,1376000,99.82690001,-0.6875,-2.3125
34.1065605,-117.712266,1376000,98.42735813,-0.6875,-2.3125
34.1065605,-117.712266,1376000,100.5916547,-0.6875,-2.3125
34.1065605,-117.712266,1376000,99.93291586,-0.6875,-2.3125
34.1065605,-117.712266,1376000,96.70916844,-0.6875,-2.3125
34.1065605,-117.712266,1376000,98.93324738,-0.6875,-2.3125
34.1065605,-117.712266,1376000,97.96054806,-0.6875,-2.3125
34.1065605,-117.712266,1376000,98.98509213,-0.6875,-2.3125
34.1065605,-117.712266,1376000,98.29881927,-0.6875,-2.3125
34.1065605,-117.712266,1376000,97.11256258,-0.6875,-2.3125
34.1065605,-117.712266,1376000,100.5708626,-0.6875,-2.3125
34.1065605,-117.712266,1376000,101.0987782,-0.6875,-2.3125
34.1065605,-117.712266,1376000,100.1499847,-0.6875,-2.3125
34.1065605,-117.712266,1376000,99.26997137,-0.6875,-2.3125
34.1065605,-117.712266,1376000,99.20115961,-0.6875,-2.3125
34.1065605,-117.712266,1376000,99.45712991,-0.6875,-2.3125
34.1065605,-117.712266,1376000,98.07672968,-0.6875,-2.3125
34.1065605,-117.712266,1376000,97.26734934,-0.6875,-2.3125
34.1065605,-117.712266,1376000,99.86281327,-0.6875,-2.3125
34.1065605,-117.712266,1376000,96.19512043,-0.6875,-2.3125
34.1065605,-117.712266,1376000,100.7545477,-0.6875,-2.3125
34.1065605,-117.712266,1376000,101.0739854,-0.6875,-2.3125
34.1065605,-117.712266,1376000,100.7566544,-0.6875,-2.3125
34.1065605,-117.712266,1376000,98.02180142,-0.6875,-2.3125
34.1065605,-117.712266,1376000,101.3673986,-0.6875,-2.3125
34.1065605,-117.712266,1376000,101.2691907,-0.6875,-2.3125
34.1065605,-117.712266,1376000,99.83162539,-0.6875,-2.3125
34.1065605,-117.712266,1376000,99.95352533,-0.6875,-2.3125
34.1065605,-117.712266,1376000,99.98787431,-0.6875,-2.3125
34.1065605,-117.712266,1376000,97.52697294,-0.6875,-2.3125
34.1065605,-117.712266,1376000,95.66587755,-0.6875,-2.3125
34.1065605,-117.712266,1376000,96.50114622,-0.6875,-2.3125
34.1065605,-117.712266,1376000,101.3136668,-0.6875,-2.3125
34.1065605,-117.712266,1376000,99.28834353,-0.6875,-2.3125
34.1065605,-117.712266,1376000,102.083805,-0.6875,-2.3125
34.1065605,-117.712266,1376000,98.91304688,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.87280262,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,97.88107239,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,99.44859604,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,100.4454205,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,96.73709328,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.3215524,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,100.8702997,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.91585759,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.85466836,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.51124087,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,101.7383688,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,101.0165657,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,97.81277394,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,100.0227167,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,99.74610477,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,100.4837081,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,100.8219995,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,100.8744514,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,100.0548313,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.72196018,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,97.54475622,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.208486,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,100.7683026,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,97.34364291,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,99.84682416,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.44531897,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,97.3825236,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,97.17676879,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,100.6498366,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.54638168,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.04342963,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,99.43013259,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,101.4603349,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,99.2903989,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.00505292,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,97.95430579,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,98.65726948,-0.6875,-2.3125
34.10656167,-117.7122635,1377000,101.7502694,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,100.8893474,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,97.44108965,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,98.55404296,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.3812468,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,98.65532541,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,98.24127913,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,98.02538596,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,98.76150599,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.41842763,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.72001463,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,96.30925703,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.58733737,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.20497094,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,98.79594894,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,96.16607598,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,96.26233294,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,95.69236644,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.70056002,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,95.90398475,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,98.45456448,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,98.3095494,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.94831595,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,100.0393467,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,100.6680518,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.54131432,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,97.14916109,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.36880737,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.25471232,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,97.67400234,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,100.8044347,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,100.1093722,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,101.2596458,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.55662656,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.01044847,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,101.2375986,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,98.82320675,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.77623446,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,97.55471874,-0.6875,-2.3125
34.10656033,-117.7122607,1378000,99.44459904,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,97.89142955,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,101.8550379,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,100.7497459,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,100.8124684,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,98.92172688,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,97.08128125,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,99.62585052,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,99.20620112,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,100.4549871,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,98.52121682,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,100.4867269,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,101.1644643,-0.6875,-2.3125
34.10655733,-117.7122577,1379000,99.20482142,-0.6875,-2.3125
