Latitude,Longitude,Time Stamp(s),Yaw(degrees),Pitch(degrees),Roll(degrees)
34.10664883333333,-117.7124005,2086000,359.6702575152807,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,0.22699078316168197,-1.4375,0.3750,
34.10664883333333,-117.7124005,2086000,358.73846046270694,-1.4375,0.3750,
34.10664883333333,-117.7124005,2086000,359.17717838169017,-1.3750,0.3750,
34.10664883333333,-117.7124005,2086000,1.0664488263242902,-1.3750,0.3750,
34.10664883333333,-117.7124005,2086000,358.3088917136971,-1.3750,0.3750,
34.10664883333333,-117.7124005,2086000,359.5518031605145,-1.3750,0.3125,
34.10664883333333,-117.7124005,2086000,359.0179653981529,-1.3750,0.3750,
34.10664883333333,-117.7124005,2086000,358.40755557618786,-1.3750,0.3125,
34.10664883333333,-117.7124005,2086000,358.0259911590116,-1.3125,0.3125,
